search_query,recipient,amount,description,agency,start_date
"turbine nozzle segment","BEDEK AVIATION GROUP ISRAEL AEROSPACE IN",995326.8,"MULTIPLE AWARD CONTRACT REPAIR OF F100 TURBINE NOZZLE SEGMENT","Department of Defense",2024-04-24
"turbine nozzle segment","CHROMALLOY SAN DIEGO CORP",738744.93,"REMANUFACTURE F108 TURBINE NOZZLE SEGMENTS","Department of Defense",2020-11-23
"turbine nozzle segment","PACIFIC SKY SUPPLY; INC.",231000.0,"NEW BUY; VARIOUS TURBINE NOZZLE SEGMENTS FOR USE ON THE UNITED STATES COAST GUARDS C-130H AIRCRAFT.","Department of Homeland Security",2022-04-05
"turbine nozzle segment","RTX CORPORATION",6652.52,"NEW MANUFACTURE OF TURBINE NOZZLE SEGMENTS","Department of Defense",2021-06-18
"engine fan blade","FSR CONSULTING LLC",38531.5,"ENGINE FAN BLADE STANDS","Department of Defense",2022-09-08
"engine fuel control","WOODWARD; INC.",462658.0,"F107-100 ENGINE FUEL CONTROL","Department of Defense",2021-05-25
"engine fuel control","WOODWARD; INC.",407022.0,"F107-100 ENGINE FUEL CONTROL","Department of Defense",2022-06-14
"engine fuel control","WOODWARD; INC.",193368.0,"F107-100 ENGINE FUEL CONTROL","Department of Defense",2020-11-24
"engine fuel control","WOODWARD; INC.",174438.0,"F107-100 ENGINE FUEL CONTROL","Department of Defense",2021-12-20
"engine fuel control","WOODWARD; INC.",128912.0,"F107-100 ENGINE FUEL CONTROL","Department of Defense",2021-02-01
"landing gear actuator","TRIUMPH GEAR SYSTEMS INC",24911754.0,"C-5 MAIN LANDING GEAR ACTUATORS; NEW PRODUCTION","Department of Defense",2024-09-20
"landing gear actuator","TRIUMPH GEAR SYSTEMS INC",18414068.6,"PURCHASE 1 FIRST ARTICLE OF NSNS 1680-01-213-3841UC AND 1680-01-213-3842UC AND 64 PRODUCTION OF NSN ","Department of Defense",2017-09-25
"landing gear actuator","AERO PRECISION & REPAIR OVERHAUL CO INC",1862533.94,"REPAIR AND MAJOR REPAIR OF THE NOSE AND MAIN LANDING GEAR ACTUATORS USED IN THE MAINTENANCE; REPAIR;","Department of Homeland Security",2024-12-05
"landing gear actuator","AERO PRECISION & REPAIR OVERHAUL CO INC",1154692.91,"REPAIR OF MAIN LANDING AND NOSE LANDING GEAR ACTUATORS FOR USE ON THE MH-65 AIRCRAFT.","Department of Homeland Security",2022-04-05
